order_id,product_id,product_name,category,supplier,customer_id,region,channel,price,order_date,delivery_days,is_returned,return_reason,return_date
ORD10000,PRD5000,Samsung Electronics Product,Electronics,Samsung,CUST5453,North India,Website,1997.79,17-10-2024,6,1,Late delivery,30-10-2024
ORD10001,PRD5001,AmazonBasics Footwear Product,Footwear,AmazonBasics,CUST1858,East India,Mobile App,3713.57,09-01-2024,2,0,,
ORD10002,PRD5002,Philips Electronics Product,Electronics,Philips,CUST6323,East India,Mobile App,948.89,07-07-2024,3,0,,
ORD10003,PRD5003,Samsung Electronics Product,Electronics,Samsung,CUST7387,East India,Website,478.8,09-12-2024,10,1,Wrong item sent,23-12-2024
ORD10004,PRD5004,Boat Home & Kitchen Product,Home & Kitchen,Boat,CUST2647,East India,Retail Store,3085.35,26-09-2024,10,0,,
ORD10005,PRD5005,Lakme Electronics Product,Electronics,Lakme,CUST7236,North India,Retail Store,298.81,19-08-2024,4,1,Changed mind,29-08-2024
ORD10006,PRD5006,Lakme Electronics Product,Electronics,Lakme,CUST7455,West India,Retail Store,4195.72,13-05-2024,10,0,,
ORD10007,PRD5007,Nike Books Product,Books,Nike,CUST4857,South India,Retail Store,1072.76,01-04-2024,5,0,,
ORD10008,PRD5008,Boat Electronics Product,Electronics,Boat,CUST8076,South India,Website,1660.36,26-08-2024,3,0,,
ORD10009,PRD5009,Samsung Footwear Product,Footwear,Samsung,CUST3568,East India,Retail Store,2273.34,08-03-2024,2,0,,
ORD10010,PRD5010,Samsung Footwear Product,Footwear,Samsung,CUST1527,North India,Website,3136.89,17-02-2024,8,0,,
ORD10011,PRD5011,AmazonBasics Beauty Product,Beauty,AmazonBasics,CUST2072,West India,Website,1602.29,17-01-2024,5,0,,
ORD10012,PRD5012,Philips Apparel Product,Apparel,Philips,CUST7882,East India,Mobile App,2389.14,21-08-2024,10,0,,
ORD10013,PRD5013,Samsung Beauty Product,Beauty,Samsung,CUST3259,West India,Website,1158.43,19-03-2024,8,0,,
ORD10014,PRD5014,Boat Books Product,Books,Boat,CUST5766,West India,Mobile App,3043.59,01-01-2024,4,0,,
ORD10015,PRD5015,Philips Apparel Product,Apparel,Philips,CUST4192,West India,Mobile App,3116.22,25-06-2024,3,0,,
ORD10016,PRD5016,Lakme Beauty Product,Beauty,Lakme,CUST8553,South India,Retail Store,512.25,18-02-2024,4,1,Other,01-03-2024
ORD10017,PRD5017,Nike Beauty Product,Beauty,Nike,CUST8577,East India,Mobile App,4835.03,07-06-2024,10,1,Changed mind,23-06-2024
ORD10018,PRD5018,Nike Books Product,Books,Nike,CUST9974,North India,Website,1662.15,17-03-2024,6,0,,
ORD10019,PRD5019,Samsung Home & Kitchen Product,Home & Kitchen,Samsung,CUST8099,West India,Retail Store,3484.32,01-11-2024,3,0,,
ORD10020,PRD5020,Nike Electronics Product,Electronics,Nike,CUST1000,East India,Website,785.78,04-09-2024,5,0,,
ORD10021,PRD5021,Philips Books Product,Books,Philips,CUST8558,North India,Mobile App,365.06,24-01-2024,3,1,Defective item,31-01-2024
ORD10022,PRD5022,Nike Home & Kitchen Product,Home & Kitchen,Nike,CUST7014,North India,Mobile App,1442.14,24-06-2024,9,0,,
ORD10023,PRD5023,Nike Beauty Product,Beauty,Nike,CUST7756,South India,Mobile App,1696.21,06-09-2024,9,0,,
ORD10024,PRD5024,Boat Books Product,Books,Boat,CUST3007,East India,Website,2824.21,21-01-2024,10,0,,
ORD10025,PRD5025,Lakme Apparel Product,Apparel,Lakme,CUST9585,West India,Mobile App,4854.01,25-08-2024,5,0,,
ORD10026,PRD5026,Samsung Electronics Product,Electronics,Samsung,CUST7099,East India,Retail Store,4709.59,25-03-2024,3,1,Other,29-03-2024
ORD10027,PRD5027,Philips Books Product,Books,Philips,CUST1040,East India,Mobile App,3069.92,26-10-2024,8,1,Size mismatch,05-11-2024
ORD10028,PRD5028,Philips Books Product,Books,Philips,CUST5967,North India,Mobile App,624.76,09-10-2024,7,0,,
ORD10029,PRD5029,Nike Footwear Product,Footwear,Nike,CUST5476,North India,Mobile App,417.09,04-02-2024,2,0,,
ORD10030,PRD5030,Philips Books Product,Books,Philips,CUST6343,East India,Mobile App,2065.65,28-10-2024,3,0,,
ORD10031,PRD5031,Samsung Home & Kitchen Product,Home & Kitchen,Samsung,CUST2895,West India,Retail Store,4177.94,20-09-2024,6,0,,
ORD10032,PRD5032,Samsung Beauty Product,Beauty,Samsung,CUST4752,West India,Website,1548.49,02-12-2024,6,0,,
ORD10033,PRD5033,Nike Beauty Product,Beauty,Nike,CUST5174,East India,Retail Store,876.44,20-06-2024,10,1,Wrong item sent,10-07-2024
ORD10034,PRD5034,Samsung Books Product,Books,Samsung,CUST4548,North India,Website,557.84,02-06-2024,5,1,Late delivery,14-06-2024
ORD10035,PRD5035,Samsung Footwear Product,Footwear,Samsung,CUST4112,North India,Website,3906.77,28-03-2024,2,0,,
